browser_log,flow_id,decision,risk_score,rule_score,model_score,context_score,rules_triggered
logs\macro_v2\20260213_perf001_flow_20260213_kr0wge_success.json,flow_20260213_kr0wge,allow,0.29277751,0.00000000,0.73194378,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ktbh26_success.json,flow_20260213_ktbh26,allow,0.29292661,0.00000000,0.73231651,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_llm4ee_success.json,flow_20260213_llm4ee,allow,0.22893120,0.00000000,0.57232801,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_lo72pd_success.json,flow_20260213_lo72pd,allow,0.23780604,0.00000000,0.59451509,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_lqhfpu_success.json,flow_20260213_lqhfpu,allow,0.25720331,0.00000000,0.64300828,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_m0md1e_success.json,flow_20260213_m0md1e,allow,0.27990232,0.00000000,0.69975580,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_m44ek1_success.json,flow_20260213_m44ek1,allow,0.21383022,0.00000000,0.53457556,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_maw5sk_success.json,flow_20260213_maw5sk,challenge,0.30260300,0.00000000,0.75650749,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mb6vug_success.json,flow_20260213_mb6vug,allow,0.26061784,0.00000000,0.65154460,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_meo3ek_success.json,flow_20260213_meo3ek,allow,0.28722716,0.00000000,0.71806791,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mfnqjf_success.json,flow_20260213_mfnqjf,allow,0.27634408,0.00000000,0.69086021,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mhtqb3_success.json,flow_20260213_mhtqb3,allow,0.21561342,0.00000000,0.53903354,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mirn7j_success.json,flow_20260213_mirn7j,challenge,0.32039593,0.00000000,0.80098983,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mjapt1_success.json,flow_20260213_mjapt1,allow,0.26643708,0.00000000,0.66609271,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mly3zn_success.json,flow_20260213_mly3zn,allow,0.22806198,0.00000000,0.57015495,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_msjntg_success.json,flow_20260213_msjntg,allow,0.23903493,0.00000000,0.59758732,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mv8pru_success.json,flow_20260213_mv8pru,allow,0.24620479,0.00000000,0.61551196,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mwgsvj_success.json,flow_20260213_mwgsvj,allow,0.18516042,0.00000000,0.46290104,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mx3qog_success.json,flow_20260213_mx3qog,allow,0.23753546,0.00000000,0.59383865,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_mxinjj_success.json,flow_20260213_mxinjj,allow,0.26061185,0.00000000,0.65152962,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_n4eetc_success.json,flow_20260213_n4eetc,allow,0.18604534,0.00000000,0.46511334,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_n57hj3_success.json,flow_20260213_n57hj3,allow,0.27921664,0.00000000,0.69804161,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_n6c5ed_success.json,flow_20260213_n6c5ed,allow,0.23676561,0.00000000,0.59191403,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_n6t69r_success.json,flow_20260213_n6t69r,allow,0.27713216,0.00000000,0.69283041,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_n9zgql_success.json,flow_20260213_n9zgql,allow,0.26707698,0.00000000,0.66769245,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_nas0tj_success.json,flow_20260213_nas0tj,allow,0.26482828,0.00000000,0.66207070,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_nav04c_success.json,flow_20260213_nav04c,challenge,0.30683858,0.00000000,0.76709644,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_nfs0gu_success.json,flow_20260213_nfs0gu,allow,0.21773281,0.00000000,0.54433201,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ngjr3a_success.json,flow_20260213_ngjr3a,allow,0.29979511,0.00000000,0.74948778,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_nglym3_success.json,flow_20260213_nglym3,allow,0.29624636,0.00000000,0.74061590,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_nnhnax_success.json,flow_20260213_nnhnax,allow,0.25512517,0.00000000,0.63781292,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_nq6cds_success.json,flow_20260213_nq6cds,allow,0.25486411,0.00000000,0.63716027,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_nrhgmr_success.json,flow_20260213_nrhgmr,allow,0.27466811,0.00000000,0.68667028,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_nxrrd2_success.json,flow_20260213_nxrrd2,allow,0.28940125,0.00000000,0.72350312,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_obb9ww_success.json,flow_20260213_obb9ww,allow,0.28757876,0.00000000,0.71894690,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ocqkot_success.json,flow_20260213_ocqkot,challenge,0.31225496,0.00000000,0.78063741,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ogwkob_success.json,flow_20260213_ogwkob,allow,0.25467717,0.00000000,0.63669293,0.00000000,
